GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Audio Analyzer DSP and Analysis,org.hammer.audio.diagnosis,DiagnosisType,0,51,0,0,0,9,0,1,0,1
Audio Analyzer DSP and Analysis,org.hammer.audio.diagnosis,DiagnosisAnalyzer.DriftResult,0,12,0,0,0,1,0,1,0,1
Audio Analyzer DSP and Analysis,org.hammer.audio.diagnosis,DiagnosisAnalyzer,125,1190,50,105,29,235,47,54,0,23
Audio Analyzer DSP and Analysis,org.hammer.audio.diagnosis,DiagnosisAnalyzer.LevelStats,0,12,0,0,0,1,0,1,0,1
Audio Analyzer DSP and Analysis,org.hammer.audio.diagnosis,DiagnosisAnalyzer.HumResult,0,12,0,0,0,1,0,1,0,1
Audio Analyzer DSP and Analysis,org.hammer.audio.diagnosis,DiagnosisAnalyzer.BurstResult,0,9,0,0,0,1,0,1,0,1
Audio Analyzer DSP and Analysis,org.hammer.audio.diagnosis,DiagnosisFinding,15,62,3,3,4,13,6,5,3,5
Audio Analyzer DSP and Analysis,org.hammer.audio.diagnosis,DiagnosisSeverity,0,21,0,0,0,4,0,1,0,1
Audio Analyzer DSP and Analysis,org.hammer.audio.diagnosis,DiagnosisSnapshot,39,27,4,0,10,8,7,3,5,3
Audio Analyzer DSP and Analysis,org.hammer.audio,DemoSignalType,70,0,0,0,13,0,3,0,3,0
Audio Analyzer DSP and Analysis,org.hammer.audio.dsp,DSPPipeline,11,86,0,4,2,15,1,8,1,6
Audio Analyzer DSP and Analysis,org.hammer.audio.dsp,DSPProcessor,0,4,0,0,0,1,0,2,0,2
Audio Analyzer DSP and Analysis,org.hammer.audio.capture,SampleDecoder,75,183,8,12,12,33,8,9,2,5
Audio Analyzer DSP and Analysis,org.hammer.audio.spectrogram,SpectrogramAnalyzer,7,51,0,0,2,18,2,4,2,4
Audio Analyzer DSP and Analysis,org.hammer.audio.spectrogram,SpectrogramFrame,33,120,4,4,6,31,7,11,3,11
Audio Analyzer DSP and Analysis,org.hammer.audio.spectrogram,SpectrogramHistory,24,206,6,18,5,45,9,15,3,9
Audio Analyzer DSP and Analysis,org.hammer.audio.analysis,PeakHoldSpectrum,29,144,9,19,4,30,10,15,3,8
Audio Analyzer DSP and Analysis,org.hammer.audio.analysis,SpectrumSnapshot,7,76,1,1,1,20,1,12,0,12
Audio Analyzer DSP and Analysis,org.hammer.audio.analysis,RmsPeakAnalyzer,2,89,1,9,0,18,1,6,0,2
Audio Analyzer DSP and Analysis,org.hammer.audio.analysis,MeasurementCalculator,10,276,9,31,3,58,9,15,0,4
Audio Analyzer DSP and Analysis,org.hammer.audio.analysis,RmsPeakSnapshot,26,43,1,1,7,11,5,5,4,5
Audio Analyzer DSP and Analysis,org.hammer.audio.analysis,SpectrumAverager,35,100,9,9,7,21,12,8,5,6
Audio Analyzer DSP and Analysis,org.hammer.audio.analysis,SpectrumDisplayState,113,0,18,0,40,0,22,0,13,0
Audio Analyzer DSP and Analysis,org.hammer.audio.analysis,MeasurementSnapshot,0,21,0,0,0,1,0,1,0,1
Audio Analyzer DSP and Analysis,org.hammer.audio.analysis,Fft,3,376,1,31,1,67,2,21,1,6
Audio Analyzer DSP and Analysis,org.hammer.audio.analysis,SpectrumAnalyzer,24,164,4,10,6,30,4,7,1,3
Audio Analyzer DSP and Analysis,org.hammer.audio.localization,StereoDelayStatus,0,33,0,0,0,6,0,1,0,1
Audio Analyzer DSP and Analysis,org.hammer.audio.localization,StereoDelaySnapshot,23,86,1,3,6,23,7,11,6,10
Audio Analyzer DSP and Analysis,org.hammer.audio.localization,StereoDelayAnalyzer,18,408,9,29,4,74,11,20,2,10
Audio Analyzer DSP and Analysis,org.hammer.audio.signal,DemoPresetGenerator,432,0,24,0,66,0,30,0,14,0
Audio Analyzer DSP and Analysis,org.hammer.audio.signal,SquareGenerator,18,114,1,9,6,25,4,6,3,2
Audio Analyzer DSP and Analysis,org.hammer.audio.signal,ChirpGenerator,37,149,4,10,10,31,7,5,3,2
Audio Analyzer DSP and Analysis,org.hammer.audio.signal,SineGenerator,14,115,1,7,4,27,4,6,3,3
