GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Audio Analyzer App,org.hammer,AudioAnalyseFrame.new WindowAdapter() {...},43,0,8,0,10,0,6,0,2,0
Audio Analyzer App,org.hammer,DiagnosisPanel,331,0,18,0,72,0,19,0,9,0
Audio Analyzer App,org.hammer,AudioAnalyseFrame.InputMode,15,0,0,0,3,0,1,0,1,0
Audio Analyzer App,org.hammer,AudioAnalyseFrame.AudioDeviceItem,19,0,2,0,4,0,3,0,2,0
Audio Analyzer App,org.hammer,SpectrogramPanel,730,0,64,0,145,0,46,0,14,0
Audio Analyzer App,org.hammer,PhaseDiagramCanvas,406,24,18,0,70,6,14,3,5,3
Audio Analyzer App,org.hammer,SpectrumPanel,718,170,68,16,152,46,54,8,16,4
Audio Analyzer App,org.hammer,PhaseDiagramPanel,13,35,2,0,3,8,2,2,1,2
Audio Analyzer App,org.hammer,WaveformPanel,918,74,82,2,168,19,55,4,13,4
Audio Analyzer App,org.hammer,AudioAnalyseFrame.SwingAction,19,0,0,0,6,0,2,0,2,0
Audio Analyzer App,org.hammer,WaveformPanel.new ComponentAdapter() {...},20,45,1,3,1,8,1,3,0,2
Audio Analyzer App,org.hammer,AudioAnalyseFrame,3037,0,167,0,701,0,149,0,64,0
Audio Analyzer App,org.hammer,AudioAnalyseFrame.new ChangeListener() {...},31,0,2,0,7,0,3,0,2,0
Audio Analyzer App,org.hammer.audio,DemoAudioCaptureService,65,276,13,15,24,66,17,14,6,10
Audio Analyzer App,org.hammer.audio,RecordingTap,174,0,16,0,52,0,19,0,11,0
Audio Analyzer App,org.hammer.audio,AudioCaptureServiceImpl,92,479,14,30,28,119,17,25,4,16
Audio Analyzer App,org.hammer.audio,WaveformModel,39,139,4,12,3,24,5,13,1,9
Audio Analyzer App,org.hammer.audio,AudioCaptureService,6,0,0,0,3,0,3,0,3,0
Audio Analyzer App,org.hammer.audio,DefaultAudioLineProvider,78,10,6,0,20,5,5,2,2,2
Audio Analyzer App,org.hammer.audio,RecordedAudioCaptureService,109,255,19,13,36,67,21,13,8,10
Audio Analyzer App,org.hammer.audio.ui,WaveformRenderer,0,143,0,20,0,31,0,13,0,3
Audio Analyzer App,org.hammer.audio.pluginhost,PluginMenuBuilder,479,0,22,0,107,0,24,0,13,0
Audio Analyzer App,org.hammer.audio.pluginhost,PluginLoadResult,0,89,0,2,0,19,0,9,0,8
Audio Analyzer App,org.hammer.audio.pluginhost,PluginManager,34,102,2,2,12,26,3,5,2,4
Audio Analyzer App,org.hammer.audio.pluginhost,PluginRegistry,0,74,0,6,0,17,0,8,0,5
Audio Analyzer App,org.hammer.audio.compare,ComparisonReport.Side,2,56,1,1,1,10,1,3,0,3
Audio Analyzer App,org.hammer.audio.compare,RecordingComparator,22,158,3,13,6,35,4,9,1,4
Audio Analyzer App,org.hammer.audio.compare,ComparisonReport,2,32,2,2,1,8,2,4,0,4
Audio Analyzer App,org.hammer.audio.compare,MarkdownComparisonReportRenderer,45,474,17,21,9,105,15,16,0,12
Audio Analyzer App,org.hammer.audio.export,EvidenceBundleExporter,252,778,32,44,35,133,32,21,1,11
Audio Analyzer App,org.hammer.audio.export,EvidenceData.Builder,10,38,0,0,4,14,2,8,2,8
Audio Analyzer App,org.hammer.audio.export,EvidenceData,8,85,9,7,0,22,7,12,0,11
Audio Analyzer App,org.hammer.tools,DocImageRenderer,1088,1358,24,28,187,188,23,26,10,13
Audio Analyzer App,org.hammer.audio.ui.theme,UiTheme,80,0,2,0,17,0,5,0,4,0
Audio Analyzer App,org.hammer.audio.ui.theme,PlotRenderTheme,42,666,2,16,9,107,4,22,2,15
