GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.doppler,FrequencyTrack,36,142,7,15,6,28,9,8,2,4
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.doppler,FrequencyTrack.FrequencyTrackSnapshot,39,0,8,0,7,0,5,0,1,0
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.doppler,VelocityReconstructor,11,330,9,19,3,61,9,10,0,5
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.doppler,SimpleMultiSensorDopplerEstimator,12,354,7,23,2,74,7,17,0,9
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.doppler,RadialVelocityEstimate,25,44,8,8,5,7,8,1,0,1
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.doppler,ExactDopplerEstimator,22,36,6,6,6,7,8,2,2,2
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.doppler,SourceObservation,10,40,4,4,2,7,4,1,0,1
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.doppler,SimpleDopplerEstimator,8,50,4,8,2,11,5,5,1,3
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.plugin,AcousticLocalizationPlugin,0,112,0,0,0,26,0,10,0,10
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.plugin,AcousticLocalizationPlugin.new MenuContribution() {...},4,15,0,0,2,6,2,4,2,4
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.plugin,AcousticLocalizationPlugin.new ViewContribution() {...},4,5,0,0,2,2,2,2,2,2
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.plugin,AcousticLocalizationPlugin.new AnalysisContribution() {...},6,9,0,0,2,1,2,1,2,1
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.plugin,AcousticLocalizationPlugin.new DemoSignalContribution() {...},9,12,0,0,3,1,3,1,3,1
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.visualization,AcousticDebugFrame,46,0,2,0,12,0,3,0,2,0
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,WingbeatFrequencyTracker,1,191,1,9,1,35,1,7,0,3
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,DelayAndSumBeamformer,11,153,4,14,1,29,5,11,1,6
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,GccPhatTdoaEstimator.LagScore,0,9,0,0,0,1,0,1,0,1
